movie_quote,movie_name,movie_star
法式小清新。 ,"天使爱美丽, / Le fabuleux destin d'Amélie Poulain, / 艾蜜莉的异想世界(台)  /  天使艾米莉",8.7
往事如烟，无处祭奠。,"美国往事, / Once Upon a Time in America, / 四海兄弟(台)  /  义薄云天(港)",9.1
人生不能像做菜，把所有的料都准备好了才下锅。,"饮食男女, / 飲食男女, / Eat Drink Man Woman",9.0
音乐能化解仇恨。,"钢琴家, / The Pianist, / 战地琴人  /  钢琴战曲",9.0
动物版《哈姆雷特》。,"狮子王, / The Lion King, / 狮子王3D",8.9
警察抓小偷，老鼠玩死猫。,"七宗罪, / Se7en, / 火线追缉令  /  7宗罪",8.7
迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,"疯狂动物城, / Zootopia, / 优兽大都会(港)  /  动物方城市(台)",9.2
以戏谑来戏谑戏谑。,"被嫌弃的松子的一生, / 嫌われ松子の一生, / 花样奇缘(港)  /  令人讨厌的松子的一生(台)",8.9
孪生蝙蝠侠大战克隆金刚狼。,"致命魔术, / The Prestige, / 顶尖对决(台)  /  死亡魔法(港)",8.8
奔跑的孩子是天使。,"小鞋子, / بچههای آسمان, / 天堂的孩子  /  小童鞋",9.2
史诗大片的典范。,"勇敢的心, / Braveheart, / 惊世未了缘(港)  /  梅尔吉勃逊之英雄本色(台)",8.8
浪漫忧郁的成人童话。,"剪刀手爱德华, / Edward Scissorhands, / 幻海奇缘(港)  /  剪刀手爱德华",8.7
用音乐化解仇恨，让歌声串起美好。,"音乐之声, / The Sound of Music, / 仙乐飘飘处处闻(港)  /  真善美(台)",8.9
故事的高级讲法。,"低俗小说, / Pulp Fiction, / 黑色追緝令(台)  /  危险人物(港)",8.8
受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,"素媛, / 소원, / 许愿  /  希望：为爱重生(台)",9.1
在时间之河里感受溺水之苦。,"本杰明·巴顿奇事, / The Curious Case of Benjamin Button, / 奇幻逆缘(港)  /  返老还童",8.7
视觉革命。,"黑客帝国, / The Matrix, / 廿二世纪杀人网络(港)  /  骇客任务(台)",8.8
死可能是一道门，逝去并不是终结，而是超越，走向下一程。,"入殓师, / おくりびと, / 礼仪师之奏鸣曲(港)  /  礼仪师(台)",8.8
安东尼·霍普金斯的顶级表演。,"沉默的羔羊, / The Silence of the Lambs, / 沉默的羔羊",8.7
美利坚精神输出大片No1.,"拯救大兵瑞恩, / Saving Private Ryan, / 雷霆救兵(港)  /  抢救雷恩大兵(台)",8.9
美丽无罪。,"西西里的美丽传说, / Malèna, / 真爱伴我行(台)  /  玛莲娜",8.7
你是我最好的朋友，你是我唯一的朋友 。,"玛丽和马克思, / Mary and Max, / 巧克力情缘(台)  /  同是天涯寂寞客",8.9
人的命运被自己瞬间的抉择改变。,"蝴蝶效应, / The Butterfly Effect, / 蝴蝶效应",8.7
爱情纠缠，男女一致。,"春光乍泄, / 春光乍洩, / 一起快乐  /  Happy Together",8.8
你给我翻译翻译，神马叫做TMD的惊喜。,"让子弹飞, / 让子弹飞一会儿  /  火烧云",8.7
人生中应该拥有这样的一段豁然开朗。,"心灵捕手, / Good Will Hunting, / 骄阳似我(港)  /  心灵捕手",8.7
经典之作，历久弥新。,"大闹天宫, / 大闹天宫 上下集  /  The Monkey King",9.2
人与自然的战争史诗。,"幽灵公主, / もののけ姫, / 魔法公主  /  幽灵少女",8.8
一场华丽的意淫。,"阳光灿烂的日子, / In the Heat of the Sun",8.7
深入内心的恐怖，出人意料的结局。,"第六感, / The Sixth Sense, / 灵异第六感  /  鬼眼",8.8
寂寞没有期限。,"重庆森林, / 重慶森林, / Chungking Express",8.6
抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,"大鱼, / Big Fish, / 大鱼奇缘(港)  /  大智若鱼(台)",8.7
百看不厌。 ,"射雕英雄传之东成西就, / 射鵰英雄傳之東成西就, / 东成西就  /  大英雄 (日本)",8.7
昔日翩翩少年，今日大腹便便。,"禁闭岛, / Shutter Island, / 不赦岛(港)  /  隔离岛(台)",8.6
相逢只要一瞬间，等待却像是一辈子。,"甜蜜蜜, / Comrades: Almost a Love Story",8.7
再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,"阳光姐妹淘, / 써니, / 阳光姊妹淘(港)  /  桑尼",8.8
被上帝抛弃了的上帝之城。,"上帝之城, / Cidade de Deus, / 无主之城 (港)  /  无法无天 (台)",8.9
我们都曾经是一一。,"一一, / Yi yi  /  Yi yi: A One and a Two",8.9
最不可能的那个人永远是最可能的。,"致命ID, / Identity, / 杀人游戏  /  致命身份",8.6
人言可畏。,"狩猎, / Jagten, / 谎言的烙印(台)  /  诬网(港)",9.0
没有一人完全善，也没有一人完全恶。,"告白, / 自白  /  母亲",8.7
“不要跟我比惨，我比你更惨”再适合这部电影不过了。,"末代皇帝, / The Last Emperor, / 末代皇帝溥仪(港)",8.9
小清新的故事里注入了大历史的情怀。,"布达佩斯大饭店, / The Grand Budapest Hotel, / 布达佩斯大酒店(港)  /  欢迎来到布达佩斯大饭店(台)",8.7
约翰尼·德普的独角戏。,"加勒比海盗, / Pirates of the Caribbean: The Curse of the Black Pearl, / 加勒比海盗1：黑珍珠号的诅咒  /  神鬼奇航：鬼盗船魔咒(台)",8.6
每个人心中都有一座断背山。,"断背山, / Brokeback Mountain, / 断臂山",8.6
缘分是个连绵词，最美不过一瞬。,"爱在黎明破晓前, / Before Sunrise, / 情留半天(港)  /  爱在黎明破晓时(台)",8.7
大时代中的人生，小人物的悲喜。,"摩登时代, / Modern Times, / The Masses  /  Temps modernes, Les",9.2
绝对意义上的美轮美奂。,"阿凡达, / Avatar, / 天神下凡  /  化身",8.6
骗子大师和执著警探的你追我跑故事。 ,"猫鼠游戏, / Catch Me If You Can, / 逍遥法外  /  神鬼交锋(台)",8.7
童话世界的开端。,"哈利·波特与魔法石, / Harry Potter and the Sorcerer's Stone, / 哈利波特1：神秘的魔法石(港 / 台) ",8.7
动画片的圣经。,"风之谷, / 風の谷のナウシカ, / 风谷少女  /  Kaze no tani no Naushika",8.8
九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,"爱在日落黄昏时, / Before Sunset, / 日落巴黎(港)  /  爱在日落巴黎时(台)",8.7
no movie_quote,"看不见的客人, / Contratiempo, / 佈局(台)  /  The Invisible Guest",8.7
尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,"穿条纹睡衣的男孩, / The Boy in the Striped Pajamas, / 穿条纹衣服的男孩  /  穿条纹衣的男孩",8.9
少女情怀总是诗。,"侧耳倾听, / 耳をすませば, / 心之谷  /  梦幻街少女",8.8
幸福是生生不息，却难以触及的远。 ,"萤火虫之墓, / 火垂るの墓, / 再见萤火虫(港)  /  萤火挽歌",8.7
年度最佳date movie。,"消失的爱人, / Gone Girl, / 失踪的女孩  /  失踪女孩",8.7
穷尽一生，我们要学会的，不过是彼此拥抱。,"超脱, / Detachment, / 人间师格(台)",8.8
和谐的生活离不开摸头与被摸头。,"驯龙高手, / How to Train Your Dragon, / 驯龙记(港)",8.7
从没见过那么流氓的温柔，从没见过那么温柔的流氓。,"菊次郎的夏天, / 菊次郎の夏, / Kikujirô no natsu  /  菊次郎的夏天",8.7
两张绝世的脸。 ,"倩女幽魂, / 倩女幽魂(87版)  /  A Chinese Ghost Story",8.6
恐怖分子的“秋菊打官司”。,"恐怖直播, / 더 테러 라이브, / 死亡“动”新闻(港)  /  恐怖攻击直播(台)",8.7
有时候幸福需要等一等。 ,"幸福终点站, / The Terminal, / 机场客运站(港)  /  航站情缘(台)",8.6
大海啊，不全是水。,"海洋, / Océans, / Oceans  /  海洋",9.0
时代悲歌。,"七武士, / 七人の侍, / 七侠四义(港)  /  The Seven Samurai",9.2
梦的勾结。,"红辣椒, / パプリカ, / 盗梦侦探  /  帕布莉卡",8.9
岁月流逝，来日可追。,"岁月神偷, / 歲月神偷, / 1969太空漫游  /  Echoes Of The Rainbow",8.6
Mr. I Don't Care其实也有Care的时候。,"神偷奶爸, / Despicable Me, / 卑鄙的我  /  坏蛋奖门人(港)",8.5
曾经的那段美好会沉淀为一辈子的记忆。,"借东西的小人阿莉埃蒂, / 借りぐらしのアリエッティ, / 借物少女艾莉缇(台)  /  借东西的小矮人亚莉亚蒂(港)",8.7
真相就在眼前。,"电锯惊魂, / Saw, / 夺魂锯(台)  /  恐惧斗室(港)",8.7
像吃了苏打饼一样干脆的电影。,"谍影重重3, / The Bourne Ultimatum, / 叛谍追击3：最后通牒(港)  /  神鬼认证：最后通牒 (台)",8.7
关于连环杀人悬案的集体回忆。,"杀人回忆, / 살인의 추억, / 谋杀回忆  /  杀手回忆录",8.6
爱，是个动词。,"真爱至上, / Love Actually, / 爱是您，爱是我(台)  /  真的恋爱了(港)",8.5
生活在自己的世界里，也可以让周围的人显得可笑和渺小。,"雨人, / Rain Man, / 手足情未了  /  手足情深",8.6
上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,"贫民窟的百万富翁, / Slumdog Millionaire, / 贫民百万富翁(台)  /  一百万零一夜(港)",8.5
传奇，不是每个人都可以拥有。,"燃情岁月, / Legends of the Fall, / 秋日传奇  /  真爱一世情(台)",8.7
电影诗。,"东邪西毒, / 東邪西毒, / Ashes of Time",8.6
一个针管引发的血案。,"记忆碎片, / Memento, / 失忆  /  记忆拼图",8.5
永远看不腻的喜剧。,"虎口脱险, / La grande vadrouille, / 横冲直撞出重围(港)  /  大進擊(台)",8.9
中国家庭的喜怒哀乐忍。,"喜宴, / The Wedding Banquet",8.8
老少皆宜，这就是好莱坞动画的魅力。,"疯狂原始人, / The Croods, / 古鲁家族(港 / 台) ",8.7
不要给它起名字，起了名字就有感情了。,"怪兽电力公司, / Monsters, Inc., / 怪兽公司(港)  /  怪物公司",8.6
那些静得只能听见呼吸的日子里，你明白孤独即生活。,"小森林 夏秋篇, / リトル・フォレスト 夏・秋, / 小森食光 / 夏秋篇(台) ",8.9
我是一个演员。,"喜剧之王, / 喜劇之王, / King of Comedy",8.5
当这个世界闭上双眼，他却敞开了怀抱。,"卢旺达饭店, / Hotel Rwanda, / 卢安达饭店(台)",8.8
黑暗之美。,"黑天鹅, / Black Swan, / 夺命黑天鹅  /  霸王别鹅(豆友译名)",8.5
不可猜的青春迷笛。 ,"猜火车, / Trainspotting, / 迷幻列车(港)  /  定位的火车",8.5
爱上未来的你。 ,"穿越时空的少女, / 時をかける少女, / 跳跃吧！时空少女(台)  /  Toki o kakeru shôjo",8.6
中国式内在的美国电影。,"魂断蓝桥, / Waterloo Bridge, / 滑铁卢桥  /  断桥残梦",8.8
爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,"恋恋笔记本, / The Notebook, / 深情日记  /  写我情真",8.5
骨灰级歌舞片。,"雨中曲, / Singin' in the Rain, / 雨中情  /  万花嬉春",8.9
爱是摈弃傲慢与偏见之后的曙光。,"傲慢与偏见, / Pride & Prejudice, / 傲慢与偏见2005  /  Pride And Prejudice",8.4
任何信念的力量，都无法改变命运。,"教父3, / The Godfather: Part III, / 教父第三集  /  教父 III",8.7
坏人的好总是比好人的好来得更感人。,"完美的世界, / A Perfect World, / 强盗保镳",9.0
香港浪漫主义警匪动作片的巅峰之作。,"纵横四海, / 緃横四海, / Once a Thief",8.7
英雄泪短，兄弟情长。 ,"英雄本色, / A Better Tomorrow  /  Gangland Boss",8.6
触不到的恋人。,"萤火之森, / 蛍火の杜へ, / 萤火之社  /  Hotarubi no mori e",8.7
跨度十五年的欢乐与泪水。,"玩具总动员3, / Toy Story 3, / 反斗奇兵3(港)  /  玩具的故事3",8.8
10年的完美句点。,"哈利·波特与死亡圣器(下), / Harry Potter and the Deathly Hallows: Part 2, / 哈利波特7：死神的圣物2(港 / 台) ",8.6
偷情本没有这样美。,"花样年华, / 花樣年華, / In the Mood for Love",8.5
《我是山姆》的《美丽人生》。,"7号房的礼物, / 7번방의 선물, / 戆爸的礼物(港)  /  7号囚房的礼物",8.7
no movie_quote,"二十二, / Twenty Two  /  22",8.8
对爱的执着，可以超越一切。,"人工智能, / Artificial Intelligence: AI, / AI人工智慧",8.6
爱并不需要智商 。,"我是山姆, / I Am Sam, / 不一样的爸爸(港)  /  他不笨，他是我爸爸(台)",8.8
我们都有权利不与自己的过去和解。,"海边的曼彻斯特, / Manchester by the Sea, / 情系海边之城(港)  /  海曼",8.6
世界离独裁只有五天。,"浪潮, / Die Welle, / 恶魔教室(台)  /  白恤暴潮(港)",8.7
始于荒诞，止于更荒诞。,"荒蛮故事, / Relatos salvajes, / 蛮荒故事  /  生命中最抓狂的小事(台)",8.7
一个单凭体香达到高潮的男人。,"香水, / Perfume: The Story of a Murderer, / 香水：一个杀人犯的故事  /  香水：一个谋杀犯的故事",8.4
松鼠才是角儿。,"冰川时代, / Ice Age, / 冰河世纪  /  冰原历险记",8.4
