movie_quote,movie_name,movie_star
每个美丽事物背后都是滴血的现实。,"血钻, / Blood Diamond, / 血腥钻石  /  滴血钻石",8.5
捍卫人权只是信仰，一点不妨碍其行为的残忍。,"大卫·戈尔的一生, / The Life of David Gale, / 铁案悬谜  /  命悬一线",8.6
皇上无话儿。,"国王的演讲, / The King's Speech, / 皇上无话儿(港)  /  王者之声：宣战时刻(台)",8.3
一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,"枪火, / 鎗火, / The Mission",8.6
中国版《两杆大烟枪》。,"疯狂的石头, / Crazy Stone",8.2
麦兜是一只很哲学的猪。 ,"麦兜故事, / 麥兜故事, / 麦兜的故事  /  My Life as McDull",8.5
愿我们都不用长大，每一座城堡都能永远存在。,"头脑特工队, / Inside Out, / 玩转脑朋友(港)  /  脑筋急转弯(台)",8.7
有些幸福无关爱情。,"曾经, / Once, / 一奏倾情(港)  /  曾经。爱是唯一(台)",8.3
恋爱是一次神经的冒险。就算失去记忆，也会爱上你。,"暖暖内含光, / Eternal Sunshine of the Spotless Mind, / 暧暧内含光  /  美丽心灵的永恒阳光",8.4
一部能引人思考的科幻励志片。,"千钧一发, / Gattaca, / 变种异煞  /  自然人",8.7
用剩余不多的时间，去燃烧整个生命。,"遗愿清单, / The Bucket List, / 玩转身前事(港)  /  一路玩到挂(台)",8.5
一个人的独角戏。,"荒岛余生, / Cast Away, / 浩劫重生(台)  /  劫后重生(港)",8.5
我们长途跋涉寻找的东西，有可能一直就在身边。 ,"蝴蝶, / Le Papillon, / The Butterfly",8.6
四百击的反面。,"巴黎淘气帮, / Le petit Nicolas, / 小淘气尼古拉(台)  /  反斗小尼哥(港)",8.6
充满诗意与情怀的史诗作品。 ,"与狼共舞, / Dances with Wolves, / 与狼共舞",8.9
2009媲美《第九区》的又一部科幻神作。,"月球, / Moon, / 月劫余生(港)  /  寂寞月影",8.5
小成本大魅力。,"彗星来的那一夜, / Coherence, / 相干性  /  相干效应",8.4
你要相信，这世上真的有爱存在，不管在什么年纪 ,"我爱你, / 그대를 사랑합니다, / 爱你  /  Late Blossom",9.0
日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,"步履不停, / 歩いても 歩いても, / 横山家之味(港)  /  步伐不停",8.8
典型盖·里奇式的英国黑色幽默黑帮片。,"偷拐抢骗, / Snatch, / 边个够我姜(港)  /  掠夺",8.5
仪式主义的狂欢，偏执狂的完胜。,"寿司之神, / Jiro Dreams of Sushi, / 次郎的寿司梦  /  梦见寿司的次郎",8.8
弥漫淡淡血腥气的优雅。,"夜访吸血鬼, / Interview with the Vampire: The Vampire Chronicles, / 吸血迷情",8.3
no movie_quote,"一个叫欧维的男人决定去死, / En man som heter Ove, / 明天别再来敲门(台)  /  想死冇咁易(港)",8.7
